"","yearly_id","position"
"792","2000_00-0005231","WR"
"793","2000_00-0005324","RB"
"794","2000_00-0005348","FB"
"795","2000_00-0005361","FB"
"796","2000_00-0005363","QB"
"797","2000_00-0005396","TE"
"798","2000_00-0005562","WR"
"799","2000_00-0005588","TE"
"800","2000_00-0005589","QB"
"801","2000_00-0005600","QB"
"802","2000_00-0005616","WR"
"803","2000_00-0005620","RB"
"804","2000_00-0005668","WR"
"805","2000_00-0005720","WR"
"806","2000_00-0005732","TE"
"807","2000_00-0005741","QB"
"808","2000_00-0005755","QB"
"809","2000_00-0005779","RB"
"810","2000_00-0005794","QB"
"811","2000_00-0005816","RB"
"812","2000_00-0005822","FB"
"813","2000_00-0005854","TE"
"814","2000_00-0005860","TE"
"815","2000_00-0005883","RB"
"816","2000_00-0005885","QB"
"817","2000_00-0005902","QB"
"818","2000_00-0005903","WR"
"819","2000_00-0006043","WR"
"820","2000_00-0006047","TE"
"821","2000_00-0006101","TE"
"822","2000_00-0006133","TE"
"823","2000_00-0006155","RB"
"824","2000_00-0006210","WR"
"825","2000_00-0006212","QB"
"826","2000_00-0006299","QB"
"827","2000_00-0006300","QB"
"828","2000_00-0006305","RB"
"829","2000_00-0006322","WR"
"830","2000_00-0006331","WR"
"831","2000_00-0006355","QB"
"832","2000_00-0006410","QB"
"833","2000_00-0006423","QB"
"834","2000_00-0006431","WR"
"835","2000_00-0006456","FB"
"836","2000_00-0006458","TE"
"837","2000_00-0006482","FB"
"838","2000_00-0006627","WR"
"839","2000_00-0006666","TE"
"840","2000_00-0006777","WR"
"841","2000_00-0006804","TE"
"842","2000_00-0006808","QB"
"843","2000_00-0006848","TE"
"844","2000_00-0006930","RB"
"845","2000_00-0006949","TE"
"846","2000_00-0006989","RB"
"847","2000_00-0007024","WR"
"848","2000_00-0007059","QB"
"849","2000_00-0007091","QB"
"850","2000_00-0007093","WR"
"851","2000_00-0007103","WR"
"852","2000_00-0007120","WR"
"853","2000_00-0007144","WR"
"854","2000_00-0007180","RB"
"855","2000_00-0007213","TE"
"856","2000_00-0007254","FB"
"857","2000_00-0007357","FB"
"858","2000_00-0007389","RB"
"859","2000_00-0007438","TE"
"860","2000_00-0007447","RB"
"861","2000_00-0007468","WR"
"862","2000_00-0007530","QB"
"863","2000_00-0007546","RB"
"864","2000_00-0007576","QB"
"865","2000_00-0007579","RB"
"866","2000_00-0007661","RB"
"867","2000_00-0007681","WR"
"868","2000_00-0007744","WR"
"869","2000_00-0007749","WR"
"870","2000_00-0007795","RB"
"871","2000_00-0007798","WR"
