,yearly_id,full_name,position,lw,lw_June_01,difference,lw_edit,ZR_Rankings_Manual,ZR_manual_boost
382,2022_00-0033881,Evan Engram,TE,0.4,0.5,0.1,0.5,,
288,2022_00-0036457,Ty'Son Williams,RB,0.6,0.4,-0.2,0.4,,
344,2022_00-0034765,Tre'Quan Smith,WR,0.4,0.4,0,0.4,,
348,2022_00-0027942,A.J. Green,WR,0.4,0.4,0,0.4,,
351,2022_00-0033526,Samaje Perine,RB,0.4,0.4,0,0.4,,
352,2022_00-0036020,Salvon Ahmed,RB,0.4,0.4,0,0.4,,
354,2022_00-0036627,Dez Fitzpatrick,WR,0.4,0.4,0,0.4,,
356,2022_00-0025394,Adrian Peterson,RB,0.4,0.4,0,0.4,,
357,2022_00-0036365,Bryan Edwards,WR,0.4,0.4,0,0.4,,
358,2022_00-0029664,Josh Gordon,WR,0.4,0.4,0,0.4,,
360,2022_00-0036572,Shi Smith,WR,0.4,0.4,0,0.4,,
361,2022_00-0036671,Dax Milne,WR,0.4,0.4,0,0.4,,
362,2022_00-0033217,Mo Alie-Cox,TE,0.4,0.4,0,0.4,,
363,2022_Greg Dulcich,Greg Dulcich,TE,0.4,0.4,0,0.4,,
364,2022_Jelani Woods,Jelani Woods,TE,0.4,0.4,0,0.4,,
365,2022_Cade Otton,Cade Otton,TE,0.4,0.4,0,0.4,,
366,2022_Chigoziem Okonkwo,Chigoziem Okonkwo,TE,0.4,0.4,0,0.4,,
367,2022_Daniel Bellinger,Daniel Bellinger,TE,0.4,0.4,0,0.4,,
368,2022_Jeremy Ruckert,Jeremy Ruckert,TE,0.4,0.4,0,0.4,,
369,2022_Charlie Kolar,Charlie Kolar,TE,0.4,0.4,0,0.4,,
370,2022_Isaiah Likely,Isaiah Likely,TE,0.4,0.4,0,0.4,,
371,2022_Jake Ferguson,Jake Ferguson,TE,0.4,0.4,0,0.4,,
372,2022_Cole Turner,Cole Turner,TE,0.4,0.4,0,0.4,,
373,2022_Teagan Quitoriano,Teagan Quitoriano,TE,0.4,0.4,0,0.4,,
374,2022_James Mitchell,James Mitchell,TE,0.4,0.4,0,0.4,,
375,2022_Andrew Ogletree,Andrew Ogletree,TE,0.4,0.4,0,0.4,,
376,2022_Grant Calcaterra,Grant Calcaterra,TE,0.4,0.4,0,0.4,,
377,2022_Connor Heyward,Connor Heyward,TE,0.4,0.4,0,0.4,,
378,2022_John FitzPatrick,John FitzPatrick,TE,0.4,0.4,0,0.4,,
379,2022_Ko Kieft,Ko Kieft,TE,0.4,0.4,0,0.4,,
380,2022_Nick Muse,Nick Muse,TE,0.4,0.4,0,0.4,,
383,2022_00-0036862,Ben Skowronek,WR,0.4,0.4,0,0.4,,
309,2022_00-0036383,Eno Benjamin,RB,0.5,0.3,-0.2,0.3,,
313,2022_00-0035208,Olamide Zaccheaus,WR,0.5,0.3,-0.2,0.3,,
346,2022_00-0035860,Tony Jones,RB,0.4,0.3,-0.1,0.3,,
386,2022_00-0035217,Benny Snell,RB,0.3,0.3,0,0.3,,
387,2022_00-0033466,Isaiah McKenzie,WR,0.3,0.3,0,0.3,,
388,2022_00-0035215,Deonte Harris,WR,0.3,0.3,0,0.3,,
389,2022_00-0036370,Joshua Kelley,RB,0.3,0.3,0,0.3,,
390,2022_00-0036650,Larry Rountree,RB,0.3,0.3,0,0.3,,
391,2022_00-0036422,Adam Trautman,TE,0.3,0.3,0,0.3,,
392,2022_00-0036857,Chris Evans,RB,0.3,0.3,0,0.3,,
393,2022_00-0033925,D'Onta Foreman,RB,0.3,0.3,0,0.3,,
396,2022_00-0034353,Anthony Miller,WR,0.3,0.3,0,0.3,,
397,2022_00-0036630,Tylan Wallace,WR,0.3,0.3,0,0.3,,
398,2022_00-0031376,Jerick McKinnon,RB,0.3,0.3,0,0.3,,
399,2022_00-0036336,Anthony McFarland,RB,0.3,0.3,0,0.3,,
400,2022_00-0029608,T.Y. Hilton,WR,0.3,0.3,0,0.3,,
401,2022_00-0036387,Jalen Reagor,WR,0.3,0.3,0,0.3,,
