"","yearly_id","position","fantasy_pos"
"20328","2021_00-0033282","WR","receiver"
"20329","2021_00-0035659","WR","receiver"
"20330","2021_00-0034104","WR","receiver"
"20331","2021_00-0035297","WR","receiver"
"20332","2021_00-0032009","WR","receiver"
"20333","2021_00-0036626","WR","receiver"
"20334","2021_00-0032609","WR","receiver"
"20335","2021_00-0030112","FB","rusher"
"20336","2021_00-0033086","FB","rusher"
"20337","2021_00-0033374","FB","rusher"
"20338","2021_00-0033719","FB","rusher"
"20339","2021_00-0032375","FB","rusher"
"20340","2021_00-0032499","FB","rusher"
"20341","2021_00-0033736","FB","rusher"
"20342","2021_00-0034237","FB","rusher"
"20343","2021_00-0029492","FB","rusher"
"20344","2021_00-0031085","FB","rusher"
"20345","2021_00-0033967","FB","rusher"
"20346","2021_00-0032130","FB","rusher"
"20347","2021_00-0029068","FB","rusher"
"20348","2021_00-0027925","FB","rusher"
"20349","2021_00-0034946","FB","rusher"
"20350","2021_00-0032745","FB","rusher"
"20351","2021_00-0034314","FB","rusher"
"20352","2021_00-0029931","FB","rusher"
"20353","2021_00-0029729","FB","rusher"
"20354","2021_00-0032794","FB","rusher"
"20355","2021_00-0031612","FB","rusher"
"20356","2021_00-0034225","FB","rusher"
"20357","2021_00-0030741","FB","rusher"
"20358","2021_00-0028581","FB","rusher"
"20359","2021_00-0034119","FB","rusher"
"20360","2021_00-0035310","FB","rusher"
"20361","2021_00-0032068","FB","rusher"
"20362","2021_00-0034148","FB","rusher"
"20363","2021_00-0034149","FB","rusher"
"20364","2021_00-0032852","FB","rusher"
"20365","2021_00-0035077","QB","passer"
"20366","2021_00-0033098","QB","passer"
"20367","2021_00-0035163","QB","passer"
"20368","2021_00-0034897","QB","passer"
"20369","2021_00-0028957","QB","passer"
"20370","2021_00-0029682","QB","passer"
"20371","2021_00-0031568","QB","passer"
"20372","2021_00-0030524","QB","passer"
"20373","2021_00-0032431","QB","passer"
"20374","2021_00-0035577","QB","passer"
"20375","2021_00-0034531","QB","passer"
"20376","2021_00-0034918","QB","passer"
"20377","2021_00-0031076","QB","passer"
"20378","2021_00-0034737","QB","passer"
"20379","2021_00-0034574","QB","passer"
"20380","2021_00-0027854","QB","passer"
"20381","2021_00-0020531","QB","passer"
"20382","2021_00-0034126","QB","passer"
"20383","2021_00-0034697","QB","passer"
"20384","2021_00-0030419","QB","passer"
"20385","2021_00-0035652","QB","passer"
"20386","2021_00-0035471","QB","passer"
"20387","2021_00-0034369","QB","passer"
"20388","2021_00-0027796","QB","passer"
"20389","2021_00-0025708","QB","passer"
"20390","2021_00-0025430","QB","passer"
"20391","2021_00-0033108","QB","passer"
"20392","2021_00-0034416","QB","passer"
"20393","2021_00-0033766","QB","passer"
"20394","2021_00-0021678","QB","passer"
"20395","2021_00-0033597","QB","passer"
"20396","2021_00-0032462","QB","passer"
"20397","2021_00-0034478","QB","passer"
"20398","2021_00-0031064","QB","passer"
"20399","2021_00-0035735","QB","passer"
"20400","2021_00-0023645","QB","passer"
"20401","2021_00-0023436","QB","passer"
"20402","2021_00-0022803","QB","passer"
"20403","2021_00-0029665","QB","passer"
"20404","2021_00-0034608","QB","passer"
"20405","2021_00-0032953","QB","passer"
"20406","2021_00-0021206","QB","passer"
"20407","2021_00-0034412","QB","passer"
"20408","2021_00-0035723","QB","passer"
"20409","2021_00-0035394","QB","passer"
"20410","2021_00-0034732","QB","passer"
"20411","2021_00-0034074","QB","passer"
"20412","2021_00-0032893","QB","passer"
"20413","2021_00-0033899","QB","passer"
"20414","2021_00-0022787","QB","passer"
"20415","2021_00-0030151","QB","passer"
"20416","2021_00-0034291","QB","passer"
"20417","2021_00-0034144","QB","passer"
"20418","2021_00-0033104","QB","passer"
"20419","2021_00-0026898","QB","passer"
"20420","2021_00-0030526","QB","passer"
"20421","2021_00-0029677","QB","passer"
"20422","2021_00-0033672","QB","passer"
"20423","2021_00-0029151","QB","passer"
"20424","2021_00-0034219","QB","passer"
"20425","2021_00-0021429","QB","passer"
"20426","2021_00-0032630","QB","passer"
"20427","2021_00-0035483","QB","passer"
"20428","2021_00-0029668","QB","passer"
"20429","2021_00-0033585","QB","passer"
"20430","2021_00-0023662","QB","passer"
"20431","2021_00-0032658","QB","passer"
"20432","2021_00-0035037","QB","passer"
"20433","2021_00-0029623","QB","passer"
"20434","2021_00-0022942","QB","passer"
"20435","2021_00-0032148","QB","passer"
"20436","2021_00-0031277","RB","rusher"
"20437","2021_00-0032593","RB","rusher"
"20438","2021_00-0035512","RB","rusher"
"20439","2021_00-0033304","RB","rusher"
"20440","2021_00-0032048","RB","rusher"
"20441","2021_00-0035013","RB","rusher"
"20442","2021_00-0031665","RB","rusher"
"20443","2021_00-0028198","RB","rusher"
"20444","2021_00-0031897","RB","rusher"
"20445","2021_00-0034315","RB","rusher"
"20446","2021_00-0035387","RB","rusher"
"20447","2021_00-0034870","RB","rusher"
"20448","2021_00-0032747","RB","rusher"
"20449","2021_00-0034890","RB","rusher"
"20450","2021_00-0035725","RB","rusher"
"20451","2021_00-0032740","RB","rusher"
"20452","2021_00-0028009","RB","rusher"
"20453","2021_00-0034509","RB","rusher"
"20454","2021_00-0035546","RB","rusher"
"20455","2021_00-0031390","RB","rusher"
"20456","2021_00-0034349","RB","rusher"
"20457","2021_00-0029731","RB","rusher"
"20458","2021_00-0031332","RB","rusher"
"20459","2021_00-0029615","RB","rusher"
"20460","2021_00-0032209","RB","rusher"
"20461","2021_00-0030287","RB","rusher"
"20462","2021_00-0035396","RB","rusher"
"20463","2021_00-0034432","RB","rusher"
"20464","2021_00-0033762","RB","rusher"
"20465","2021_00-0026213","RB","rusher"
"20466","2021_00-0034596","RB","rusher"
"20467","2021_00-0034935","RB","rusher"
"20468","2021_00-0032371","RB","rusher"
"20469","2021_00-0029205","RB","rusher"
"20470","2021_00-0030404","RB","rusher"
"20471","2021_00-0034961","RB","rusher"
"20472","2021_00-0034200","RB","rusher"
"20473","2021_00-0031531","RB","rusher"
"20474","2021_00-0030668","RB","rusher"
"20475","2021_00-0028074","RB","rusher"
"20476","2021_00-0035256","RB","rusher"
"20477","2021_00-0032377","RB","rusher"
"20478","2021_00-0031590","RB","rusher"
"20479","2021_00-0034137","RB","rusher"
"20480","2021_00-0032540","RB","rusher"
